Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
cafe,restaurant,bank,car_repair,supermarket,furniture_store,casino,amusement_park,spa,liquor_store
florist,park,dentist,bicycle_store,transit_station,art_gallery,,bowling_alley,,museum
department_store,bakery,doctor,car_dealer,gas_station,,,mosque,,night_club
shopping_mall,travel_agency,post_office,hardware_store,convenience_store,,,,,movie_theater
drugstore,tourist_attraction,embassy,veterinary_care,bus_station,,,,,meal_delivery
train_station,campground,city_hall,car_wash,,,,,,church
physiotherapist,stadium,courthouse,laundry,,,,,,
university,synagogue,airport,pet_store,,,,,,
,,electrician,library,,,,,,
,,cemetery,locksmith,,,,,,
,,funeral_home,lodging,,,,,,
,,real_estate_agency,hospital,,,,,,
,,,aquarium,,,,,,
,,,insurance_agency,,,,,,
